name,x,y,z
110,61767.0,113448.0,0.0
111,71267.0,110198.0,0.0
112,61767.0,114848.0,0.0
113,68167.0,106298.0,0.0
114,68167.0,107148.0,0.0
115,58767.0,101548.0,0.0
116,58767.0,104348.0,0.0
117,65567.0,114848.0,0.0
118,68667.0,107148.0,0.0
119,19467.0,107148.0,0.0
120,65567.0,113648.0,0.0
121,17367.0,114848.0,0.0
122,20833.0,114848.0,0.0
123,21700.0,114848.0,0.0
124,27067.0,114848.0,0.0
125,26367.0,111448.0,0.0
126,26367.0,112448.0,0.0
127,27067.0,113448.0,0.0
128,19967.0,109345.0,0.0
129,16867.0,111060.0,0.0
130,16867.0,111923.0,0.0
131,16867.0,112785.0,0.0
132,26867.0,110448.0,0.0
133,22567.0,109345.0,0.0
134,22567.0,106723.0,0.0
135,26367.0,106723.0,0.0
136,16867.0,101989.0,0.0
137,16867.0,102931.0,0.0
138,16867.0,103873.0,0.0
139,16867.0,104814.0,0.0
140,16867.0,105756.0,0.0
141,16867.0,98973.0,0.0
142,16867.0,99398.0,0.0
143,17817.0,101048.0,0.0
144,19967.0,99381.0,0.0
145,19967.0,100214.0,0.0
146,22567.0,99070.0,0.0
147,26367.0,99070.0,0.0
148,17642.0,98548.0,0.0
149,20833.0,98548.0,0.0
150,21700.0,98548.0,0.0
151,27367.0,98548.0,0.0
152,28367.0,98548.0,0.0
153,16867.0,114248.0,0.0
154,18142.0,114848.0,0.0
155,28567.0,114848.0,0.0
156,17317.0,107148.0,0.0
157,19967.0,106723.0,0.0
158,19967.0,114248.0,0.0
159,22567.0,114248.0,0.0
160,29367.0,114148.0,0.0
161,29367.0,111448.0,0.0
162,29367.0,112448.0,0.0
163,27367.0,107148.0,0.0
164,28367.0,107148.0,0.0
165,29367.0,105281.0,0.0
166,29367.0,106214.0,0.0
167,29367.0,99548.0,0.0
168,29367.0,100548.0,0.0
169,29367.0,102481.0,0.0
170,29367.0,103414.0,0.0
171,68767.0,101048.0,0.0
172,59567.0,114848.0,0.0
173,68542.0,114848.0,0.0
174,68167.0,114248.0,0.0
175,71267.0,114248.0,0.0
176,70767.0,114848.0,0.0
177,70492.0,98548.0,0.0
178,59767.0,98548.0,0.0
179,60767.0,98548.0,0.0
180,61767.0,99070.0,0.0
181,65567.0,99070.0,0.0
182,68167.0,99381.0,0.0
183,68167.0,100214.0,0.0
184,70317.0,101048.0,0.0
185,71267.0,98973.0,0.0
186,71267.0,99398.0,0.0
187,71267.0,101989.0,0.0
188,71267.0,102931.0,0.0
189,71267.0,103873.0,0.0
190,71267.0,104814.0,0.0
191,71267.0,105756.0,0.0
192,59767.0,107148.0,0.0
193,60767.0,107148.0,0.0
194,61767.0,106723.0,0.0
195,65567.0,106723.0,0.0
196,70817.0,107148.0,0.0
197,65567.0,109345.0,0.0
198,66433.0,108798.0,0.0
199,67300.0,108798.0,0.0
200,68167.0,109345.0,0.0
201,58767.0,111448.0,0.0
202,58767.0,112448.0,0.0
203,61267.0,110448.0,0.0
204,61067.0,113448.0,0.0
205,61767.0,111448.0,0.0
206,61767.0,112448.0,0.0
207,58767.0,114148.0,0.0
208,71267.0,111060.0,0.0
209,71267.0,111923.0,0.0
210,71267.0,112785.0,0.0
211,61067.0,114848.0,0.0
212,68167.0,106723.0,0.0
213,58767.0,102481.0,0.0
214,58767.0,103414.0,0.0
215,58767.0,105281.0,0.0
