file,folder,mean_UX,mean_UY,mean_UZ,mean_RX,mean_RY,mean_RZ,std_UX,std_UY,std_UZ,std_RX,std_RY,std_RZ,new_mean_UX,new_mean_UY,new_mean_UZ,new_mean_RX,new_mean_RY,new_mean_RZ
20250714_091003_126_acce.csv,Model2_10yr_030,0.0,0.0,0.0,0.0,0.0,-0.0,17.61,20.73,0.0,0.0,0.0,0.0,61.635,72.555,0.0,0.0,0.0,0.0
20250714_091003_54000062_acce.csv,Model2_10yr_030,0.0,0.0,-0.0,-0.0,0.0,-0.0,16.61,20.77,1.14,0.0,0.0,0.0,58.135,72.695,3.9899999999999998,0.0,0.0,0.0
20250714_091003_54000070_acce.csv,Model2_10yr_030,0.0,0.0,-0.0,-0.0,0.0,-0.0,16.61,21.08,1.04,0.0,0.0,0.0,58.135,73.78,3.64,0.0,0.0,0.0
20250714_091004_54000071_acce.csv,Model2_10yr_030,0.0,0.0,0.0,-0.0,0.0,-0.0,19.03,20.77,1.03,0.0,0.0,0.0,66.605,72.695,3.605,0.0,0.0,0.0
20250714_091004_54000079_acce.csv,Model2_10yr_030,0.0,0.0,0.0,-0.0,0.0,-0.0,19.03,21.08,1.16,0.0,0.0,0.0,66.605,73.78,4.06,0.0,0.0,0.0
20250714_091248_126_acce.csv,Model2_10yr_035,0.0,-0.0,0.0,0.0,0.0,-0.0,18.91,21.13,0.0,0.0,0.0,0.0,66.185,73.955,0.0,0.0,0.0,0.0
20250714_091248_54000062_acce.csv,Model2_10yr_035,0.0,-0.0,0.0,-0.0,0.0,-0.0,17.85,21.15,1.15,0.0,0.0,0.0,62.47500000000001,74.02499999999999,4.0249999999999995,0.0,0.0,0.0
20250714_091248_54000070_acce.csv,Model2_10yr_035,0.0,-0.0,0.0,-0.0,0.0,-0.0,17.85,21.49,1.06,0.0,0.0,0.0,62.47500000000001,75.21499999999999,3.71,0.0,0.0,0.0
20250714_091249_54000071_acce.csv,Model2_10yr_035,0.0,-0.0,-0.0,-0.0,0.0,-0.0,20.34,21.15,1.05,0.0,0.0,0.0,71.19,74.02499999999999,3.6750000000000003,0.0,0.0,0.0
20250714_091250_54000079_acce.csv,Model2_10yr_035,0.0,-0.0,-0.0,-0.0,0.0,-0.0,20.34,21.49,1.18,0.0,0.0,0.0,71.19,75.21499999999999,4.13,0.0,0.0,0.0
20250714_091524_126_acce.csv,Model2_10yr_040,0.01,-0.0,0.0,0.0,0.0,0.0,19.35,18.46,0.0,0.0,0.0,0.0,67.73500000000001,64.61,0.0,0.0,0.0,0.0
20250714_091524_54000062_acce.csv,Model2_10yr_040,0.01,-0.0,0.0,-0.0,0.0,0.0,18.8,18.6,1.1,0.0,0.0,0.0,65.81,65.10000000000001,3.8500000000000005,0.0,0.0,0.0
20250714_091525_54000070_acce.csv,Model2_10yr_040,0.01,0.0,-0.0,-0.0,0.0,0.0,18.8,18.85,1.03,0.0,0.0,0.0,65.81,65.97500000000001,3.605,0.0,0.0,0.0
20250714_091525_54000071_acce.csv,Model2_10yr_040,0.01,-0.0,0.0,-0.0,0.0,0.0,20.4,18.6,1.04,0.0,0.0,0.0,71.41,65.10000000000001,3.64,0.0,0.0,0.0
20250714_091525_54000079_acce.csv,Model2_10yr_040,0.01,0.0,-0.0,-0.0,0.0,0.0,20.4,18.85,1.13,0.0,0.0,0.0,71.41,65.97500000000001,3.9549999999999996,0.0,0.0,0.0
20250714_091757_126_acce.csv,Model2_10yr_045,-0.0,0.0,0.0,0.0,0.0,-0.0,18.06,18.0,0.0,0.0,0.0,0.0,63.209999999999994,63.0,0.0,0.0,0.0,0.0
20250714_091757_54000062_acce.csv,Model2_10yr_045,-0.0,0.0,-0.0,-0.0,0.0,-0.0,17.16,17.92,1.02,0.0,0.0,0.0,60.06,62.720000000000006,3.5700000000000003,0.0,0.0,0.0
20250714_091758_54000070_acce.csv,Model2_10yr_045,-0.0,0.0,-0.0,-0.0,0.0,-0.0,17.16,18.43,0.96,0.0,0.0,0.0,60.06,64.505,3.36,0.0,0.0,0.0
20250714_091758_54000071_acce.csv,Model2_10yr_045,-0.0,0.0,0.0,-0.0,0.0,-0.0,19.27,17.92,0.96,0.0,0.0,0.0,67.445,62.720000000000006,3.36,0.0,0.0,0.0
20250714_091758_54000079_acce.csv,Model2_10yr_045,-0.0,0.0,0.0,-0.0,0.0,-0.0,19.27,18.43,1.04,0.0,0.0,0.0,67.445,64.505,3.64,0.0,0.0,0.0
