name,x,y,z
1000177,41507.0,126298.0,6000.0
1000178,41507.0,87098.0,6000.0
1000179,52947.0,87098.0,6000.0
1000180,52947.0,126298.0,6000.0
1000181,75187.0,87098.0,6000.0
1000182,75187.0,126298.0,6000.0
1000183,86627.0,126298.0,6000.0
1000184,86627.0,87098.0,6000.0
1000185,9467.0,114848.0,6000.0
1000186,20667.0,126348.0,6000.0
1000187,25167.0,114848.0,6000.0
1000188,25167.0,126348.0,6000.0
1000189,25167.0,98548.0,6000.0
1000190,25167.0,87048.0,6000.0
1000191,20667.0,87048.0,6000.0
1000192,9467.0,87048.0,6000.0
1000193,9467.0,98548.0,6000.0
1000194,13067.0,87048.0,6000.0
1000195,13067.0,98548.0,6000.0
1000196,41507.0,98548.0,6000.0
1000197,41507.0,114848.0,6000.0
1000198,41507.0,107148.0,6000.0
1000199,119800.0,114848.0,6000.0
1000200,119800.0,126348.0,6000.0
1000201,115533.0,114848.0,6000.0
1000202,115533.0,126348.0,6000.0
1000203,119800.0,98548.0,6000.0
1000204,115533.0,98548.0,6000.0
1000205,102967.0,114848.0,6000.0
1000206,102967.0,126348.0,6000.0
1000207,107467.0,126348.0,6000.0
1000208,102967.0,98548.0,6000.0
1000209,102967.0,87048.0,6000.0
1000210,107467.0,87048.0,6000.0
1000211,92347.0,126348.0,6000.0
1000212,92347.0,87048.0,6000.0
1000213,80907.0,126348.0,6000.0
1000214,80907.0,87048.0,6000.0
1000215,69442.0,126348.0,6000.0
1000216,69442.0,87048.0,6000.0
1000217,58347.0,98548.0,6000.0
1000218,58347.0,87048.0,6000.0
1000219,58347.0,114848.0,6000.0
1000220,58347.0,126348.0,6000.0
1000221,47227.0,126348.0,6000.0
1000222,47227.0,87048.0,6000.0
1000223,35787.0,126348.0,6000.0
1000224,35787.0,87048.0,6000.0
1000225,35787.0,98548.0,6000.0
1000226,47227.0,98548.0,6000.0
1000227,92347.0,114848.0,6000.0
1000228,86627.0,114848.0,6000.0
1000229,80907.0,114848.0,6000.0
1000230,75187.0,114848.0,6000.0
1000231,69442.0,114848.0,6000.0
1000232,35787.0,114848.0,6000.0
1000233,47227.0,114848.0,6000.0
1000234,35787.0,107148.0,6000.0
1000235,47227.0,107148.0,6000.0
1000236,92347.0,107148.0,6000.0
1000237,86627.0,107148.0,6000.0
1000238,80907.0,107148.0,6000.0
1000239,75187.0,107148.0,6000.0
1000240,69442.0,107148.0,6000.0
1000241,92347.0,98548.0,6000.0
1000242,86627.0,98548.0,6000.0
1000243,80907.0,98548.0,6000.0
1000244,75187.0,98548.0,6000.0
1000245,69442.0,98548.0,6000.0
1000246,13067.0,114848.0,6000.0
1000247,13067.0,106698.0,6000.0
1000248,9467.0,106698.0,6000.0
1000249,119800.0,106698.0,6000.0
1000250,115533.0,106698.0,6000.0
1000251,63747.0,126298.0,6000.0
1000252,63747.0,87098.0,6000.0
1000253,55947.0,107048.0,6000.0
1000254,56347.0,106298.0,6000.0
1000255,30067.0,106698.0,6000.0
1000256,52947.0,106698.0,6000.0
1000257,56347.0,113448.0,6000.0
1000258,63747.0,106698.0,6000.0
1000259,98067.0,106698.0,6000.0
1000260,27067.0,113448.0,5400.0
1000261,27067.0,114848.0,5400.0
1000262,20667.0,107123.0,5400.0
1000263,20667.0,108798.0,5400.0
1000264,28067.0,110448.0,5400.0
1000265,30067.0,110448.0,5400.0
1000266,23267.0,107148.0,5400.0
1000267,23267.0,108798.0,5400.0
1000268,17767.0,107148.0,5300.0
1000269,20167.0,107098.0,5300.0
1000270,18417.0,98548.0,5250.0
1000271,19467.0,98548.0,5250.0
1000272,28467.0,113448.0,5400.0
1000273,30067.0,113448.0,5400.0
1000274,20667.0,98548.0,5250.0
1000275,54497.0,98548.0,4900.0
1000276,56347.0,98548.0,4900.0
1000277,107467.0,98548.0,5250.0
1000278,108667.0,98548.0,5250.0
1000279,98067.0,113448.0,5400.0
1000280,99667.0,113448.0,5400.0
1000281,107967.0,107098.0,5300.0
1000282,110367.0,107148.0,5300.0
1000283,104867.0,107148.0,5400.0
1000284,104867.0,108798.0,5400.0
1000285,107467.0,107123.0,5400.0
1000286,107467.0,108798.0,5400.0
1000287,101067.0,113448.0,5400.0
1000288,101067.0,114848.0,5400.0
1000289,98067.0,110448.0,5400.0
1000290,100067.0,110448.0,5400.0
1000291,109717.0,98548.0,5250.0
1000292,17367.0,114848.0,6000.0
1000293,21533.0,114848.0,6000.0
1000294,22400.0,114848.0,6000.0
1000295,27767.0,114848.0,6000.0
1000296,16867.0,111060.0,6000.0
1000297,16867.0,111923.0,6000.0
1000298,16867.0,112785.0,6000.0
1000299,27067.0,113798.0,6000.0
1000300,27067.0,114148.0,6000.0
1000301,27067.0,114498.0,6000.0
1000302,27067.0,111448.0,6000.0
1000303,27067.0,112448.0,6000.0
1000304,27767.0,113448.0,6000.0
1000305,27567.0,110448.0,6000.0
1000306,17767.0,101048.0,5000.0
1000307,17767.0,101048.0,4000.0
1000308,17767.0,101048.0,3000.0
1000309,17767.0,101048.0,2000.0
1000310,17767.0,101048.0,1000.0
1000311,20667.0,109345.0,6000.0
1000312,20667.0,107541.0,6000.0
1000313,20667.0,107960.0,6000.0
1000314,20667.0,108379.0,6000.0
1000315,21533.0,108798.0,6000.0
1000316,22400.0,108798.0,6000.0
1000317,23267.0,109345.0,6000.0
1000318,28567.0,110448.0,6000.0
1000319,29067.0,110448.0,6000.0
1000320,29567.0,110448.0,6000.0
1000321,23267.0,107560.0,6000.0
1000322,23267.0,107973.0,6000.0
1000323,23267.0,108385.0,6000.0
1000324,17317.0,107148.0,6000.0
1000325,21533.0,107131.0,6000.0
1000326,22400.0,107139.0,6000.0
1000327,23267.0,106723.0,6000.0
1000328,27067.0,106723.0,6000.0
1000329,16867.0,101931.0,6000.0
1000330,16867.0,102814.0,6000.0
1000331,16867.0,99381.0,6000.0
1000332,16867.0,100214.0,6000.0
1000333,17317.0,101048.0,6000.0
1000334,18167.0,107139.0,6000.0
1000335,18567.0,107131.0,6000.0
1000336,18967.0,107123.0,6000.0
1000337,19367.0,107114.0,6000.0
1000338,19767.0,107106.0,6000.0
1000339,18617.0,101048.0,6000.0
1000340,20667.0,99381.0,6000.0
1000341,20667.0,100214.0,6000.0
1000342,17642.0,98548.0,6000.0
1000343,18942.0,98548.0,6000.0
1000344,21533.0,98548.0,6000.0
1000345,22400.0,98548.0,6000.0
1000346,23267.0,99070.0,6000.0
1000347,27067.0,99070.0,6000.0
1000348,28067.0,98548.0,6000.0
1000349,29067.0,98548.0,6000.0
1000350,16867.0,114248.0,6000.0
1000351,20667.0,114248.0,6000.0
1000352,20292.0,114848.0,6000.0
1000353,18142.0,114848.0,6000.0
1000354,18642.0,114848.0,6000.0
1000355,19142.0,114848.0,6000.0
1000356,19642.0,114848.0,6000.0
1000357,29267.0,114848.0,6000.0
1000358,28867.0,113448.0,6000.0
1000359,29267.0,113448.0,6000.0
1000360,29667.0,113448.0,6000.0
1000361,20067.0,101048.0,6000.0
